Palabras clave,Fecha y hora,Origen,Id. del evento,Categoría de la tarea
Auditoría correcta,03/06/2014 11:35:06,Microsoft-Windows-Security-Auditing,4776,Validación de credenciales,"El equipo intentó validar las credenciales de una cuenta.

Paquete de autenticación:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Cuenta de inicio de sesión:	alu1
Estación de trabajo de origen:	IHERNANDEZ2A
Código de error:	0x0"
Auditoría correcta,03/06/2014 11:35:03,Microsoft-Windows-Security-Auditing,4634,Cerrar sesión,"Se cerró sesión en una cuenta.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Tipo de inicio de sesión:			2

Este evento se genera cuando se destruye una sesión de inicio. Puede estar correlacionado de manera positiva con un evento de inicio de sesión mediante el valor Id. de inicio de sesión. Los id. de inicio de sesión sólo son únicos entre reinicios en el mismo equipo."
Auditoría correcta,03/06/2014 11:35:03,Microsoft-Windows-Security-Auditing,4634,Cerrar sesión,"Se cerró sesión en una cuenta.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54dd1

Tipo de inicio de sesión:			2

Este evento se genera cuando se destruye una sesión de inicio. Puede estar correlacionado de manera positiva con un evento de inicio de sesión mediante el valor Id. de inicio de sesión. Los id. de inicio de sesión sólo son únicos entre reinicios en el mismo equipo."
Auditoría correcta,03/06/2014 11:34:34,Microsoft-Windows-Security-Auditing,4647,Cerrar sesión,"Cierre de sesión iniciado por el usuario:

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54dd1

Este evento se genera cuando se inicia un cierre de sesión. No se puede producir ninguna actividad adicional iniciada por el usuario. Este evento se puede interpretar como un evento de cierre de sesión."
Auditoría correcta,03/06/2014 11:32:37,Microsoft-Windows-Security-Auditing,4732,Administración de grupos de seguridad,"Se agregó un miembro a un grupo local con seguridad habilitada.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Miembro:
	Id. de seguridad:		IHERNANDEZ2A\alu3
	Nombre de cuenta:		-

Grupo:
	Id. de seguridad:		BUILTIN\Usuarios
	Nombre de grupo:		Usuarios
	Dominio de grupo:		Builtin

Información adicional:
	Privilegios:		-"
Auditoría correcta,03/06/2014 11:32:37,Microsoft-Windows-Security-Auditing,4738,Administración de cuentas de usuario,"Se cambió una cuenta de usuario.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Cuenta de destino:
	Id. de seguridad:		IHERNANDEZ2A\alu3
	Nombre de cuenta:		alu3
	Dominio de cuenta:		IHERNANDEZ2A

Atributos cambiados:
	Nombre de cuenta SAM:	alu3
	Nombre para mostrar:		alu3
	Nombre principal de usuario:	-
	Directorio principal:		<valor no establecido>
	Unidad principal:		<valor no establecido>
	Ruta de acceso de script:		<valor no establecido>
	Ruta de acceso de perfil:		<valor no establecido>
	Estaciones de trabajo de usuario:	<valor no establecido>
	Última contraseña establecida:	03/06/2014 11:32:37
	Expiración de cuenta:		<nunca>
	Id. de grupo primario:	513
	Se permite delegación a:	-
	Valor de UAC anterior:		0x10
	Nuevo valor de UAC:		0x210
	Control de cuentas de usuario:	
		""La contraseña no expira"" - Habilitado
	Parámetros de usuario:	<valor no establecido>
	Historial de SID:		-
	Horas de inicio de sesión:		Todo

Información adicional:
	Privilegios:		-"
Auditoría correcta,03/06/2014 11:32:37,Microsoft-Windows-Security-Auditing,4738,Administración de cuentas de usuario,"Se cambió una cuenta de usuario.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Cuenta de destino:
	Id. de seguridad:		IHERNANDEZ2A\alu3
	Nombre de cuenta:		alu3
	Dominio de cuenta:		IHERNANDEZ2A

Atributos cambiados:
	Nombre de cuenta SAM:	alu3
	Nombre para mostrar:		alu3
	Nombre principal de usuario:	-
	Directorio principal:		<valor no establecido>
	Unidad principal:		<valor no establecido>
	Ruta de acceso de script:		<valor no establecido>
	Ruta de acceso de perfil:		<valor no establecido>
	Estaciones de trabajo de usuario:	<valor no establecido>
	Última contraseña establecida:	03/06/2014 11:32:37
	Expiración de cuenta:		<nunca>
	Id. de grupo primario:	513
	Se permite delegación a:	-
	Valor de UAC anterior:		0x10
	Nuevo valor de UAC:		0x10
	Control de cuentas de usuario:	-
	Parámetros de usuario:	<valor no establecido>
	Historial de SID:		-
	Horas de inicio de sesión:		Todo

Información adicional:
	Privilegios:		-"
Auditoría correcta,03/06/2014 11:32:37,Microsoft-Windows-Security-Auditing,4724,Administración de cuentas de usuario,"Se intentó restablecer la contraseña de una cuenta.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Cuenta de destino:
	Id. de seguridad:		IHERNANDEZ2A\alu3
	Nombre de cuenta:		alu3
	Dominio de cuenta:		IHERNANDEZ2A"
Auditoría correcta,03/06/2014 11:32:37,Microsoft-Windows-Security-Auditing,4738,Administración de cuentas de usuario,"Se cambió una cuenta de usuario.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Cuenta de destino:
	Id. de seguridad:		IHERNANDEZ2A\alu3
	Nombre de cuenta:		alu3
	Dominio de cuenta:		IHERNANDEZ2A

Atributos cambiados:
	Nombre de cuenta SAM:	alu3
	Nombre para mostrar:		alu3
	Nombre principal de usuario:	-
	Directorio principal:		<valor no establecido>
	Unidad principal:		<valor no establecido>
	Ruta de acceso de script:		<valor no establecido>
	Ruta de acceso de perfil:		<valor no establecido>
	Estaciones de trabajo de usuario:	<valor no establecido>
	Última contraseña establecida:	03/06/2014 11:32:37
	Expiración de cuenta:		<nunca>
	Id. de grupo primario:	513
	Se permite delegación a:	-
	Valor de UAC anterior:		0x15
	Nuevo valor de UAC:		0x10
	Control de cuentas de usuario:	
		Cuenta habilitada
		""No se necesita contraseña"" - Deshabilitado
	Parámetros de usuario:	-
	Historial de SID:		-
	Horas de inicio de sesión:		Todo

Información adicional:
	Privilegios:		-"
Auditoría correcta,03/06/2014 11:32:37,Microsoft-Windows-Security-Auditing,4722,Administración de cuentas de usuario,"Se habilitó una cuenta de usuario.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Cuenta de destino:
	Id. de seguridad:		IHERNANDEZ2A\alu3
	Nombre de cuenta:		alu3
	Dominio de cuenta:		IHERNANDEZ2A"
Auditoría correcta,03/06/2014 11:32:37,Microsoft-Windows-Security-Auditing,4720,Administración de cuentas de usuario,"Se creó una cuenta de usuario.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Nueva cuenta:
	Id. de seguridad:		IHERNANDEZ2A\alu3
	Nombre de cuenta:		alu3
	Dominio de cuenta:		IHERNANDEZ2A

Atributos:
	Nombre de cuenta SAM:	alu3
	Nombre para mostrar:		<valor no establecido>
	Nombre principal de usuario:	-
	Directorio principal:		<valor no establecido>
	Unidad principal:		<valor no establecido>
	Ruta de acceso de script:		<valor no establecido>
	Ruta de acceso de perfil:		<valor no establecido>
	Estaciones de trabajo de usuario:	<valor no establecido>
	Última contraseña establecida:	<nunca>
	Expiración de cuenta:		<nunca>
	Id. de grupo primario:	513
	Se permite delegación a:	-
	Valor de UAC anterior:		0x0
	Nuevo valor de UAC:		0x15
	Control de cuentas de usuario:	
		Cuenta deshabilitada
		""No se necesita contraseña"" - Habilitado
		""Cuenta normal"" - Habilitado
	Parámetros de usuario:	<valor no establecido>
	Historial de SID:		-
	Horas de inicio de sesión:		Todo

Información adicional:
	Privilegios		-"
Auditoría correcta,03/06/2014 11:32:37,Microsoft-Windows-Security-Auditing,4728,Administración de grupos de seguridad,"Se agregó un miembro a un grupo global con seguridad habilitada.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Miembro:
	Id. de seguridad:		IHERNANDEZ2A\alu3
	Nombre de cuenta:		-

Grupo:
	Id. de seguridad:		IHERNANDEZ2A\None
	Nombre de grupo:		None
	Dominio de grupo:		IHERNANDEZ2A

Información adicional:
	Privilegios:		-"
Auditoría correcta,03/06/2014 11:32:18,Microsoft-Windows-Security-Auditing,4732,Administración de grupos de seguridad,"Se agregó un miembro a un grupo local con seguridad habilitada.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Miembro:
	Id. de seguridad:		IHERNANDEZ2A\alu2
	Nombre de cuenta:		-

Grupo:
	Id. de seguridad:		BUILTIN\Usuarios
	Nombre de grupo:		Usuarios
	Dominio de grupo:		Builtin

Información adicional:
	Privilegios:		-"
Auditoría correcta,03/06/2014 11:32:18,Microsoft-Windows-Security-Auditing,4738,Administración de cuentas de usuario,"Se cambió una cuenta de usuario.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Cuenta de destino:
	Id. de seguridad:		IHERNANDEZ2A\alu2
	Nombre de cuenta:		alu2
	Dominio de cuenta:		IHERNANDEZ2A

Atributos cambiados:
	Nombre de cuenta SAM:	alu2
	Nombre para mostrar:		alu2
	Nombre principal de usuario:	-
	Directorio principal:		<valor no establecido>
	Unidad principal:		<valor no establecido>
	Ruta de acceso de script:		<valor no establecido>
	Ruta de acceso de perfil:		<valor no establecido>
	Estaciones de trabajo de usuario:	<valor no establecido>
	Última contraseña establecida:	03/06/2014 11:32:18
	Expiración de cuenta:		<nunca>
	Id. de grupo primario:	513
	Se permite delegación a:	-
	Valor de UAC anterior:		0x10
	Nuevo valor de UAC:		0x210
	Control de cuentas de usuario:	
		""La contraseña no expira"" - Habilitado
	Parámetros de usuario:	<valor no establecido>
	Historial de SID:		-
	Horas de inicio de sesión:		Todo

Información adicional:
	Privilegios:		-"
Auditoría correcta,03/06/2014 11:32:18,Microsoft-Windows-Security-Auditing,4738,Administración de cuentas de usuario,"Se cambió una cuenta de usuario.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Cuenta de destino:
	Id. de seguridad:		IHERNANDEZ2A\alu2
	Nombre de cuenta:		alu2
	Dominio de cuenta:		IHERNANDEZ2A

Atributos cambiados:
	Nombre de cuenta SAM:	alu2
	Nombre para mostrar:		alu2
	Nombre principal de usuario:	-
	Directorio principal:		<valor no establecido>
	Unidad principal:		<valor no establecido>
	Ruta de acceso de script:		<valor no establecido>
	Ruta de acceso de perfil:		<valor no establecido>
	Estaciones de trabajo de usuario:	<valor no establecido>
	Última contraseña establecida:	03/06/2014 11:32:18
	Expiración de cuenta:		<nunca>
	Id. de grupo primario:	513
	Se permite delegación a:	-
	Valor de UAC anterior:		0x10
	Nuevo valor de UAC:		0x10
	Control de cuentas de usuario:	-
	Parámetros de usuario:	<valor no establecido>
	Historial de SID:		-
	Horas de inicio de sesión:		Todo

Información adicional:
	Privilegios:		-"
Auditoría correcta,03/06/2014 11:32:18,Microsoft-Windows-Security-Auditing,4724,Administración de cuentas de usuario,"Se intentó restablecer la contraseña de una cuenta.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Cuenta de destino:
	Id. de seguridad:		IHERNANDEZ2A\alu2
	Nombre de cuenta:		alu2
	Dominio de cuenta:		IHERNANDEZ2A"
Auditoría correcta,03/06/2014 11:32:18,Microsoft-Windows-Security-Auditing,4738,Administración de cuentas de usuario,"Se cambió una cuenta de usuario.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Cuenta de destino:
	Id. de seguridad:		IHERNANDEZ2A\alu2
	Nombre de cuenta:		alu2
	Dominio de cuenta:		IHERNANDEZ2A

Atributos cambiados:
	Nombre de cuenta SAM:	alu2
	Nombre para mostrar:		alu2
	Nombre principal de usuario:	-
	Directorio principal:		<valor no establecido>
	Unidad principal:		<valor no establecido>
	Ruta de acceso de script:		<valor no establecido>
	Ruta de acceso de perfil:		<valor no establecido>
	Estaciones de trabajo de usuario:	<valor no establecido>
	Última contraseña establecida:	03/06/2014 11:32:18
	Expiración de cuenta:		<nunca>
	Id. de grupo primario:	513
	Se permite delegación a:	-
	Valor de UAC anterior:		0x15
	Nuevo valor de UAC:		0x10
	Control de cuentas de usuario:	
		Cuenta habilitada
		""No se necesita contraseña"" - Deshabilitado
	Parámetros de usuario:	-
	Historial de SID:		-
	Horas de inicio de sesión:		Todo

Información adicional:
	Privilegios:		-"
Auditoría correcta,03/06/2014 11:32:18,Microsoft-Windows-Security-Auditing,4722,Administración de cuentas de usuario,"Se habilitó una cuenta de usuario.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Cuenta de destino:
	Id. de seguridad:		IHERNANDEZ2A\alu2
	Nombre de cuenta:		alu2
	Dominio de cuenta:		IHERNANDEZ2A"
Auditoría correcta,03/06/2014 11:32:18,Microsoft-Windows-Security-Auditing,4720,Administración de cuentas de usuario,"Se creó una cuenta de usuario.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Nueva cuenta:
	Id. de seguridad:		IHERNANDEZ2A\alu2
	Nombre de cuenta:		alu2
	Dominio de cuenta:		IHERNANDEZ2A

Atributos:
	Nombre de cuenta SAM:	alu2
	Nombre para mostrar:		<valor no establecido>
	Nombre principal de usuario:	-
	Directorio principal:		<valor no establecido>
	Unidad principal:		<valor no establecido>
	Ruta de acceso de script:		<valor no establecido>
	Ruta de acceso de perfil:		<valor no establecido>
	Estaciones de trabajo de usuario:	<valor no establecido>
	Última contraseña establecida:	<nunca>
	Expiración de cuenta:		<nunca>
	Id. de grupo primario:	513
	Se permite delegación a:	-
	Valor de UAC anterior:		0x0
	Nuevo valor de UAC:		0x15
	Control de cuentas de usuario:	
		Cuenta deshabilitada
		""No se necesita contraseña"" - Habilitado
		""Cuenta normal"" - Habilitado
	Parámetros de usuario:	<valor no establecido>
	Historial de SID:		-
	Horas de inicio de sesión:		Todo

Información adicional:
	Privilegios		-"
Auditoría correcta,03/06/2014 11:32:18,Microsoft-Windows-Security-Auditing,4728,Administración de grupos de seguridad,"Se agregó un miembro a un grupo global con seguridad habilitada.

Sujeto:
	Id. de seguridad:		IHERNANDEZ2A\ivanhdez
	Nombre de cuenta:		ivanhdez
	Dominio de cuenta:		IHERNANDEZ2A
	Id. de inicio de sesión:		0x54db9

Miembro:
	Id. de seguridad:		IHERNANDEZ2A\alu2
	Nombre de cuenta:		-

Grupo:
	Id. de seguridad:		IHERNANDEZ2A\None
	Nombre de grupo:		None
	Dominio de grupo:		IHERNANDEZ2A

Información adicional:
	Privilegios:		-"
